categories,fraction,num_cutoff,enrichment,log10_P
Hole,0.700,34,0.30878696632879865,-34.25233330841456
Hole,0.600,29,0.3072733047291476,-29.03647016722698
Hole,0.500,28,0.356013208237909,-21.61377914316654
Hole,0.400,27,0.42912306350105106,-14.284391919612972
Hole,0.300,25,0.5297815598778407,-8.452914950779814
Hole,0.200,22,0.6993116590387499,-3.897792306045858
Hole,0.100,12,0.7628854462240908,-2.030586401746632
Hole,0.090,12,0.8476504958045453,-1.6367214135675567
Hole,0.080,10,0.7946723398167612,-1.6661257175937862
Hole,0.070,10,0.9081969597905842,-1.305922935203398
Hole,0.060,10,1.0595631197556816,-1.0324656180457623
Hole,0.050,9,1.1443281693361362,-0.9205210171880935
Hole,0.040,6,0.9536068077801135,-0.9641764261441494
Hole,0.030,5,1.0595631197556816,-0.8072361883555459
Hole,0.020,4,1.271475743706818,-0.6907109986177602
Hole,0.010,3,1.907213615560227,-0.6996102499479093
Shield,1.000,150,8.931091715876118,-204.9172658967036
Shield,0.900,143,9.460341595335441,-193.54081360862256
Shield,0.800,137,10.196329708958567,-184.9812486689625
Shield,0.700,133,11.312716173443082,-182.3264991435126
Shield,0.600,114,11.312716173443079,-137.19097949115167
Shield,0.500,104,12.384447179348216,-117.19174975853912
Shield,0.400,95,14.140895216803854,-101.05718789729372
Shield,0.300,84,16.67137120296875,-84.94760605155625
Shield,0.200,62,18.457589546143975,-58.364841038408485
Shield,0.100,40,23.816244575669646,-39.42778584174107
Shield,0.090,38,25.13936927431796,-38.16224243059253
Shield,0.080,34,25.304759861649,-33.965393505829184
Shield,0.070,32,27.218565229336736,-32.85237748906155
Shield,0.060,27,26.793275147628353,-27.319625216718634
Shield,0.050,23,27.388681262020093,-23.408538705743354
Shield,0.040,20,29.770305719587057,-21.030368743081567
Shield,0.030,14,27.78561867161459,-14.341163141218829
Shield,0.020,8,23.816244575669646,-7.813609463777539
Shield,0.010,5,29.770305719587057,-5.57281498197807
Shift,1.000,13,10.283514175708786,-13.34176793719962
Shift,0.900,13,11.42612686189865,-14.020652028153563
Shift,0.800,12,11.865593279663985,-13.035811045749142
